name,cuisines,avg_cost_for_two,has_online_delivery,has_table_booking,price_range,aggregate_rating,rating_text,votes,city,locality,latitude,longitude,currency,price_label,primary_cuisine,rating_cat,delivery_label
Hauz Khas Social,"Continental, American, Asian, North Indian",1600,1,1,3,4.3,Very Good,7931,New Delhi,Hauz Khas Village,28.5542851000,77.1944706000,Rs.,Premium,Continental,Very Good,Has Delivery
Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",1500,0,1,3,4.5,Excellent,778,New Delhi,Rajouri Garden,28.6471325000,77.1177015000,Rs.,Premium,Thai,Excellent,No Delivery
The Hudson Cafe,"Cafe, Italian, Continental, Chinese",850,1,0,2,4.4,Very Good,1537,New Delhi,Delhi University-GTB Nagar,28.6949468000,77.2043172000,Rs.,Moderate,Cafe,Very Good,Has Delivery
Summer House Cafe,"Italian, Continental",1850,0,1,3,4.1,Very Good,1823,New Delhi,Hauz Khas,28.5525204000,77.2038090000,Rs.,Premium,Italian,Very Good,No Delivery
38 Barracks,"North Indian, Italian, Asian, American",1600,0,1,3,4.4,Very Good,840,New Delhi,Connaught Place,28.6330248887,77.2228584811,Rs.,Premium,North Indian,Very Good,No Delivery
Spezia Bistro,"Cafe, Continental, Chinese, Italian",900,1,1,2,4.6,Excellent,1071,New Delhi,Delhi University-GTB Nagar,28.6948390000,77.2041413000,Rs.,Moderate,Cafe,Excellent,Has Delivery
Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",2000,0,0,4,4.6,Excellent,2093,Gurgaon,"Global Foyer Mall, Golf Course Road",28.4602710000,77.0950273000,Rs.,Luxury,Finger Food,Excellent,No Delivery
The Wine Company,"Italian, European",2000,0,1,4,2.4,Poor,2412,Gurgaon,"Cyber Hub, DLF Cyber City",28.4962285000,77.0890476000,Rs.,Luxury,Italian,Poor,No Delivery
Farzi Cafe,Modern Indian,2200,0,0,4,4.4,Very Good,1942,New Delhi,Connaught Place,28.6323984000,77.2214296000,Rs.,Luxury,Modern Indian,Very Good,No Delivery
Indian Grill Room,"North Indian, Mughlai",1800,1,1,3,4.5,Excellent,1262,Gurgaon,"Suncity Business Tower, Golf Course Road",28.4334574000,77.1052774000,Rs.,Premium,North Indian,Excellent,Has Delivery
Cafeteria & Co.,"Continental, Mexican",900,0,0,2,4.6,Excellent,1136,New Delhi,Vijay Nagar,28.6944707000,77.2043384000,Rs.,Moderate,Continental,Excellent,No Delivery
Farzi Cafe,Modern Indian,2200,0,0,4,4.3,Very Good,4385,Gurgaon,"Cyber Hub, DLF Cyber City",28.4952079000,77.0886879000,Rs.,Luxury,Modern Indian,Very Good,No Delivery
Molecule Air Bar,"Continental, North Indian, Italian, Chinese",1500,0,1,3,4.2,Very Good,1809,Gurgaon,Sector 29,28.4679344000,77.0642265000,Rs.,Premium,Continental,Very Good,No Delivery
HotMess,"North Indian, Mediterranean, Asian, Fast Food",1900,1,1,3,4.3,Very Good,1129,New Delhi,Connaught Place,28.6326547000,77.2222380000,Rs.,Premium,North Indian,Very Good,Has Delivery
My Bar Headquarters,"North Indian, Mughlai, Chinese",1000,0,0,3,3.7,Good,3010,New Delhi,Connaught Place,28.6307210000,77.2198128000,Rs.,Premium,North Indian,Good,No Delivery
FLYP@MTV,"North Indian, Mexican, Italian, Continental",1200,0,1,3,3.9,Good,1379,New Delhi,Connaught Place,28.6303331283,77.2207207605,Rs.,Premium,North Indian,Good,No Delivery
Tamasha,"Finger Food, North Indian, Continental, Italian",1600,0,1,3,3.7,Good,1801,New Delhi,Connaught Place,28.6296060000,77.2217440000,Rs.,Premium,Finger Food,Good,No Delivery
The Barbeque Company,"North Indian, Chinese, Continental",1200,0,0,3,4.2,Very Good,621,New Delhi,Jail Road,28.6255344000,77.1014229000,Rs.,Premium,North Indian,Very Good,No Delivery
Saravana Bhavan,South Indian,500,1,0,2,4.3,Very Good,5172,New Delhi,Connaught Place,28.6323578000,77.2163096000,Rs.,Moderate,South Indian,Very Good,Has Delivery
Odeon Social,"Continental, American, Asian, North Indian",1600,0,1,3,4.1,Very Good,1959,New Delhi,Connaught Place,28.6342487678,77.2209088504,Rs.,Premium,Continental,Very Good,No Delivery
Spice Kraft,"Continental, Middle Eastern, Asian",1200,0,0,3,4.8,Excellent,1424,Kolkata,Ballygunge,22.5264613000,88.3644527000,Rs.,Premium,Continental,Excellent,No Delivery
Hoppipola,"Italian, Mexican, American, Mediterranean",1200,1,0,3,4.2,Very Good,1103,Kolkata,"Acropolis Mall, Kasba ",22.5145853388,88.3933101967,Rs.,Premium,Italian,Very Good,Has Delivery
Barbeque Nation,"North Indian, Chinese",1600,0,0,3,4.9,Excellent,1753,Kolkata,Park Street Area,22.5510837417,88.3541271463,Rs.,Premium,North Indian,Excellent,No Delivery
Peter Cat,"Continental, North Indian",1000,1,0,3,4.3,Very Good,7574,Kolkata,Park Street Area,22.5526719000,88.3528850000,Rs.,Premium,Continental,Very Good,Has Delivery
